rank,filename,image_path,gt_text,pre_shape,pre_min,pre_max,pre_mean,logits_shape,topk,raw_ids,raw_text,post_text,cer_raw_vs_gt,cer_post_vs_gt,error
11,AHTD3A0139_Para1_7.jpg,data/raw/KHATT/Validate_deskewed/Validate_deskewed/AHTD3A0139_Para1_7.jpg,س ش ص غ ه إننا في الحج. هل تعلم فاىدة الكلمات,"(1, 1, 64, 1024)",0.0,1.0,0.06591048836708069,"(1, 1, 67)","[[35, 0.9538093209266663], [24, 0.04072193056344986], [37, 0.0027388602029532194], [36, 0.0008346529793925583], [46, 0.0005775446188636124], [27, 0.000404132908442989], [52, 0.00029563033604063094], [49, 0.00017491413746029139], [48, 5.02244547533337e-05], [22, 4.5958804548718035e-05]]",1 35 23 46 26 4 33 23 28 29 4 49 46 4 24 46 42 4 23 37 29 23 24 48 23 4 40 4 41 4 45 4 27 4 30 4 38 4 24 4 35 4 36 2,ذؤفا خؤةت لف إفط ؤزتؤإكؤ ص ض غ ب ث س إ ذ ر,ذؤفا خؤةت لف افط ؤزتؤاكؤ ص ض غ ب ث س ا ذ ر,0.8666666666666667,0.8444444444444444,
12,AHTD3A0191_Para1_2.jpg,data/raw/KHATT/Validate_deskewed/Validate_deskewed/AHTD3A0191_Para1_2.jpg,ظافر عطعوط وهلال خازن عفيف للحج.  بدإت,"(1, 1, 64, 1024)",0.0,1.0,0.05787760764360428,"(1, 1, 67)","[[40, 0.9360798001289368], [39, 0.029075726866722107], [32, 0.010055996477603912], [27, 0.008003946393728256], [26, 0.00511277886107564], [48, 0.0040130107663571835], [44, 0.00293093454092741], [46, 0.0014259401941671968], [30, 0.0008145127212628722], [31, 0.00037017022259533405]]",1 40 23 43 33 4 41 39 41 50 39 4 50 49 46 23 46 4 30 23 34 48 4 41 43 52 43 4 46 46 29 28 4 13 2,صؤظخ ضشضمش ملفؤف ثؤدك ضظهظ ففتة .,صؤظخ ضشضمش ملفؤف ثؤدك ضظهظ ففتة.,0.8421052631578947,0.8421052631578947,
13,AHTD3A0195_Para1_2.jpg,data/raw/KHATT/Validate_deskewed/Validate_deskewed/AHTD3A0195_Para1_2.jpg,عفيف للحج.  بدإت قوافل الحجيج أثر —خر يلبي.  عند وصولنا طفنا و سعينا مع شيخ .,"(1, 1, 64, 1024)",0.0,1.0,0.09511388838291168,"(1, 1, 67)","[[41, 0.9977957010269165], [42, 0.002149313921108842], [30, 2.1729802028858103e-05], [39, 7.219388862722553e-06], [29, 3.184063643857371e-06], [19, 2.5691026621643687e-06], [20, 2.4990522433654405e-06], [43, 2.2027384147804696e-06], [32, 1.5949441376506002e-06], [49, 1.302178816331434e-06]]",1 41 43 52 43 4 46 46 29 28 4 13 4 24 31 23 26 4 44 50 23 43 46 4 23 46 29 28 52 28 4 29 23 28 4 23 27 33 4 63 30 33 4 52 46 24 52 4 13 4 41 48 31 4 50 37 50 46 48 23 4 39 43 48 23 4 50 35 41 52 48 23 4 47 41 4 36 52 30 2,ضظهظ ففتة . إجؤا عمؤظف ؤفتةهة تؤة ؤبخ ٧ثخ هفإه . ضكج مزمفكؤ شظكؤ مذضهكؤ قض رهث,ضظهظ ففتة. اجؤا عمؤظف ؤفتةهة تؤة ؤبخ ٧ثخ هفاه. ضكج مزمفكؤ شظكؤ مذضهكؤ قض رهث,0.8701298701298701,0.8441558441558441,
14,AHTD3A0130_Para1_2.jpg,data/raw/KHATT/Validate_deskewed/Validate_deskewed/AHTD3A0130_Para1_2.jpg,وهلال خازن عفيف للحج .  بدإت قوافل الحجيج حاج أثر —خر يلبي,"(1, 1, 64, 1024)",0.0,1.0,0.07207850366830826,"(1, 1, 67)","[[50, 0.9998420476913452], [19, 7.54452557885088e-05], [46, 1.1548871043487452e-05], [31, 1.0683883374440484e-05], [21, 9.601214514987078e-06], [33, 5.117884029459674e-06], [11, 4.978309334546793e-06], [4, 4.747002549265744e-06], [9, 4.133863512834068e-06], [13, 3.511112709020381e-06]]",1 50 49 46 23 46 4 30 23 34 48 4 41 43 52 43 4 46 46 29 28 4 13 4 24 31 23 26 4 44 50 23 43 46 4 23 46 29 28 52 28 4 29 23 28 4 23 27 33 4 63 30 33 4 52 46 24 52 4 13 2,ملفؤف ثؤدك ضظهظ ففتة . إجؤا عمؤظف ؤفتةهة تؤة ؤبخ ٧ثخ هفإه .,ملفؤف ثؤدك ضظهظ ففتة. اجؤا عمؤظف ؤفتةهة تؤة ؤبخ ٧ثخ هفاه.,0.8275862068965517,0.8275862068965517,
15,AHTD3A0192_Para1_2.jpg,data/raw/KHATT/Validate_deskewed/Validate_deskewed/AHTD3A0192_Para1_2.jpg,عطعوط وهلال خازن عفيف للحج.  بدإت قوافل الحجيج حاج أثر —خر,"(1, 1, 64, 1024)",0.0,1.0,0.06350121647119522,"(1, 1, 67)","[[41, 0.9932591915130615], [19, 0.003873493056744337], [39, 0.0019464092329144478], [42, 0.00027290734578855336], [50, 0.0002180953015340492], [40, 4.467070539249107e-05], [24, 4.262065340299159e-05], [36, 3.4819418942788616e-05], [20, 3.10387258650735e-05], [52, 2.882895387301687e-05]]",1 41 43 52 43 4 46 46 29 28 4 13 4 24 31 23 26 4 44 50 23 43 46 4 23 46 29 28 52 28 4 29 23 28 4 23 27 33 4 63 30 33 4 52 46 24 52 4 13 4 41 48 31 4 50 37 50 46 48 23 4 39 43 48 23 4 50 2,ضظهظ ففتة . إجؤا عمؤظف ؤفتةهة تؤة ؤبخ ٧ثخ هفإه . ضكج مزمفكؤ شظكؤ م,ضظهظ ففتة. اجؤا عمؤظف ؤفتةهة تؤة ؤبخ ٧ثخ هفاه. ضكج مزمفكؤ شظكؤ م,0.9482758620689655,0.9137931034482759,
16,AHTD3A0089_Para1_2.jpg,data/raw/KHATT/Validate_deskewed/Validate_deskewed/AHTD3A0089_Para1_2.jpg,ظافر عطعوط وهلال خازن عفيف للحج .  بدإت قوافل,"(1, 1, 64, 1024)",0.0,1.0,0.05914522334933281,"(1, 1, 67)","[[40, 0.9907991290092468], [39, 0.008597669191658497], [30, 0.0003534807765390724], [48, 7.131110760383308e-05], [38, 6.502845644718036e-05], [46, 1.9124932805425487e-05], [42, 1.790272472135257e-05], [45, 1.6929892808548175e-05], [43, 1.0781058335851412e-05], [4, 5.034471541875973e-06]]",1 40 23 43 33 4 41 39 41 50 39 4 50 49 46 23 46 4 30 23 34 48 4 41 43 52 43 4 46 46 29 28 4 13 4 24 31 23 26 4 44 50 23 43 46 2,صؤظخ ضشضمش ملفؤف ثؤدك ضظهظ ففتة . إجؤا عمؤظف,صؤظخ ضشضمش ملفؤف ثؤدك ضظهظ ففتة. اجؤا عمؤظف,0.8,0.8222222222222222,
17,AHTD3A0089_Para1_3.jpg,data/raw/KHATT/Validate_deskewed/Validate_deskewed/AHTD3A0089_Para1_3.jpg,الحجيج حاج أثر؛ —خر يلبي .  عند وصولنا طفنا و,"(1, 1, 64, 1024)",0.0,1.0,0.057375919073820114,"(1, 1, 67)","[[23, 0.9977036118507385], [46, 0.0008941327105276287], [19, 0.0004914743476547301], [9, 0.00024876606767065823], [41, 0.00020034679619129747], [63, 0.00015409365005325526], [24, 4.6080818719929084e-05], [50, 3.6258279578760266e-05], [29, 1.7611067960388027e-05], [6, 1.6753712770878337e-05]]",1 23 46 29 28 52 28 4 29 23 28 4 23 27 33 4 19 4 19 4 19 4 63 30 33 4 52 46 24 52 4 13 2,ؤفتةهة تؤة ؤبخ ؛ ؛ ؛ ٧ثخ هفإه .,ؤفتةهة تؤة ؤبخ؛ ؛؛ ٧ثخ هفاه.,0.7777777777777778,0.8222222222222222,
18,AHTD3A0211_Para1_2.jpg,data/raw/KHATT/Validate_deskewed/Validate_deskewed/AHTD3A0211_Para1_2.jpg,عطعوط وهلال خازن عفيف للحج.  بدإت قوافل الحجيج حاج,"(1, 1, 64, 1024)",0.0,1.0,0.09022372215986252,"(1, 1, 67)","[[41, 0.999151349067688], [42, 0.000727510720025748], [20, 3.9878952520666644e-05], [52, 1.3155651686247438e-05], [24, 1.0564332114881836e-05], [19, 8.905846698326059e-06], [50, 8.821233677736018e-06], [31, 5.041693839302752e-06], [32, 4.452186658454593e-06], [51, 4.0516015360481106e-06]]",1 41 39 41 50 39 4 50 49 46 23 46 4 30 23 34 48 4 41 43 52 43 4 46 46 29 28 4 13 4 24 31 23 26 4 44 50 23 43 46 4 23 46 29 28 52 28 4 29 23 28 2,ضشضمش ملفؤف ثؤدك ضظهظ ففتة . إجؤا عمؤظف ؤفتةهة تؤة,ضشضمش ملفؤف ثؤدك ضظهظ ففتة. اجؤا عمؤظف ؤفتةهة تؤة,0.84,0.82,
19,AHTD3A0047_Para1_2.jpg,data/raw/KHATT/Validate_deskewed/Validate_deskewed/AHTD3A0047_Para1_2.jpg,بدإت قوافل الحجيج حاج أثر —خر يلبي عند وصولنا ظفنا وسعينا مع شيخ كان جاري في الخيمة,"(1, 1, 64, 1024)",0.0,1.0,0.07619868218898773,"(1, 1, 67)","[[24, 0.998788058757782], [52, 0.0007817160803824663], [31, 0.00015715761401224881], [12, 4.9194495659321547e-05], [28, 4.5105363824404776e-05], [13, 2.3928085283841938e-05], [11, 1.5474553947569802e-05], [33, 1.3876050616090652e-05], [41, 1.315942336077569e-05], [22, 8.26328596303938e-06]]",1 24 31 23 26 4 44 50 23 43 46 4 23 46 29 28 52 28 4 29 23 28 4 23 27 33 4 63 30 33 4 52 46 24 52 4 13 4 41 48 31 4 50 37 50 46 48 23 4 39 43 48 23 4 50 35 41 52 48 23 4 47 41 4 36 52 30 4 45 23 48 4 28 23 33 52 4 43 52 4 23 46 30 52 47 25 2,إجؤا عمؤظف ؤفتةهة تؤة ؤبخ ٧ثخ هفإه . ضكج مزمفكؤ شظكؤ مذضهكؤ قض رهث غؤك ةؤخه ظه ؤفثهقئ,اجؤا عمؤظف ؤفتةهة تؤة ؤبخ ٧ثخ هفاه. ضكج مزمفكؤ شظكؤ مذضهكؤ قض رهث غؤك ةؤخه ظه ؤفثهقئ,0.8313253012048193,0.8192771084337349,
20,AHTD3A0201_Para1_2.jpg,data/raw/KHATT/Validate_deskewed/Validate_deskewed/AHTD3A0201_Para1_2.jpg,بدإت قوافل الحجيج حاج أثر؛ إخر يلبي.  عند وصولنا طفنا وسعينا مع شيخ. كان جاري,"(1, 1, 64, 1024)",0.0,1.0,0.0758921355009079,"(1, 1, 67)","[[24, 0.972345769405365], [52, 0.005444434005767107], [50, 0.0034652897156774998], [32, 0.0033253775909543037], [26, 0.00205569458194077], [63, 0.001990515273064375], [13, 0.0013282906729727983], [6, 0.0012473989045247436], [45, 0.0010828018421307206], [46, 0.0007153976475819945]]",1 24 31 23 26 4 44 50 23 43 46 4 23 46 29 28 52 28 4 29 23 28 4 23 27 33 4 19 4 19 4 63 30 33 4 52 46 24 52 4 13 4 41 48 31 4 50 37 50 46 48 23 4 39 43 48 23 4 50 35 41 52 48 23 4 47 41 4 36 52 30 4 13 4 45 23 48 2,إجؤا عمؤظف ؤفتةهة تؤة ؤبخ ؛ ؛ ٧ثخ هفإه . ضكج مزمفكؤ شظكؤ مذضهكؤ قض رهث . غؤك,اجؤا عمؤظف ؤفتةهة تؤة ؤبخ؛ ؛ ٧ثخ هفاه. ضكج مزمفكؤ شظكؤ مذضهكؤ قض رهث. غؤك,0.8441558441558441,0.8181818181818182,
